,match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
52,12288048,1,1,4,3,,,,,,,,,
53,12288050,,,,,,,,,,,,,
54,12288414,,,,,,,,,,,,,
55,12288415,,,,,,,,,,,,,
56,12288416,,,,,,,,,,,,,
57,12288417,3,3,6,7,,,,,,,,,
58,12288418,,,,,,,,,,,,,
59,12288419,3,3,7,6,11,,,8,2,,,,
60,12288420,2,2,6,6,,,,,,,,,
61,12288421,2,2,6,6,,,,,,,,,
62,12288918,2,3,6,7,,,,,,,,,
63,12288919,3,2,3,7,6,,,,7,,,,
64,12288920,1,1,7,1,,,,6,,,,,
65,12288921,1,2,8,5,,,,,,,,,
66,12288922,1,1,4,7,3,,,,,,,,
67,12288923,1,1,7,3,5,,,,,,,,
68,12288924,0,0,4,5,,,,,,,,,
69,12288925,0,1,7,2,,,,4,,,,,
70,12288926,1,1,4,7,3,,,,9,,,,
71,12288929,1,2,3,8,5,,,,8,,,,
72,12288930,2,1,7,4,5,,,,,,,,
73,12288931,,,,,,,,,,,,,
74,12288932,3,3,6,6,,,,,,,,,
75,12288933,2,2,4,7,5,,,,,,,,
76,12289656,1,0,2,1,,,,,,,,,
77,12289658,2,2,7,6,,,,,,,,,
78,12289660,0,0,2,1,,,,,,,,,
79,12289663,3,3,7,6,,,,,,,,,
80,12289664,1,2,4,7,7,,,,,3,,,
81,12289665,,,,,,,,,,,,,
82,12289667,2,2,6,7,,,,,,,,,
83,12289668,2,2,6,6,,,,,,,,,
84,12289670,1,1,6,2,3,,,,,,,,
85,12289671,3,3,8,7,,,,8,,,,,
86,12289672,0,0,4,4,,,,,,,,,
87,12289674,,,,,,,,,,,,,
88,12289675,1,2,7,6,3,,,4,,,,,
89,12289677,3,3,0,6,7,,,,,,,,
90,12289678,2,1,5,7,4,,,,,,,,
91,12289690,0,1,2,2,,,,,,,,,
92,12289691,1,0,4,3,,,,,,,,,
93,12290721,3,3,7,6,,,,,,,,,
94,12291185,3,2,8,7,,,,7,,,,,
95,12291277,2,3,6,6,,,,,,,,,
96,12291304,3,2,7,7,,,,,,,,,
97,12291487,3,2,6,6,,,,,,,,,
98,12291488,3,3,6,6,,,,,,,,,
99,12291489,1,2,4,8,7,,,,8,4,,,
100,12291490,3,3,6,5,7,,,,,,,,
101,12291491,1,0,3,1,,,,,,,,,
102,12291492,3,3,4,7,6,,,,,,,,
103,12291493,0,0,1,1,,,,,,,,,
104,12291497,0,1,2,5,,,,,,,,,
105,12291498,2,3,6,6,,,,,,,,,
106,12291506,0,1,3,4,,,,,,,,,
107,12291593,1,1,6,5,,,,5,,,,,
108,12291657,2,2,7,5,6,,,,,,,,
109,12291659,3,3,6,7,,,,,,,,,
110,12291660,3,3,6,7,,,,,,,,,
111,12291698,3,3,7,4,7,,,,,,,,
112,12291700,2,3,7,7,,,,,,,,,
113,12291702,1,2,3,7,4,,,,,,,,
114,12291704,1,0,2,2,,,,,,,,,
115,12291706,3,3,7,7,,,,,,,,,
116,12291709,2,3,2,6,7,,,,,,,,
117,12291711,2,2,2,6,6,,,,,,,,
118,12291712,3,3,4,7,6,,,,,,,,
119,12291714,1,1,3,4,,,,,,,,,
120,12291819,2,2,7,7,,,,,,,,,
121,12291832,2,3,7,7,,,,7,,,,,
122,12291833,2,1,6,3,4,,,,,,,,
123,12292132,2,1,2,8,4,,,,,,,,
124,12292140,3,3,6,7,,,,,,,,,
125,12292146,2,3,7,7,,,,,,,,,
126,12292148,2,1,6,,,,,,,,,,
127,12292151,0,1,3,3,,,,,,,,,
128,12292279,2,2,5,7,6,,,,,,,,
129,12292282,2,2,4,6,7,,,,,4,,,
130,12292287,2,3,7,6,,,,,,,,,
131,12292484,3,2,6,6,,,,,,,,,
132,12292485,1,0,3,1,,,,,,,,,
133,12292487,2,2,6,7,,,,,,,,,
134,12292489,3,2,7,7,,,,,,,,,
135,12292490,3,3,6,7,,,,,,,,,
136,12292491,1,0,4,3,,,,,,,,,
137,12292492,3,3,6,7,,,,,,,,,
138,12292681,0,1,4,2,,,,,,,,,
139,12292682,2,3,6,6,,,,,,,,,
140,12292683,0,1,3,5,,,,,,,,,
141,12292684,0,0,4,3,,,,,,,,,
142,12292685,0,0,2,3,,,,,,,,,
143,12292688,2,3,7,7,,,,,8,,,,
144,12292689,0,0,4,2,,,,,,,,,
145,12292691,2,2,3,7,8,,,,,,,,
146,12292692,0,1,5,6,,,,,,,,,
147,12292693,2,3,6,7,,,,,,,,,
148,12292694,0,0,3,2,,,,,,,,,
149,12292820,0,1,3,1,,,,,,,,,
150,12292821,2,2,7,6,,,,,,,,,
151,12292822,2,2,7,7,,,,,,,,,
152,12292823,2,3,6,6,,,,,,,,,
153,12292824,3,3,7,8,,,,7,9,,,,
154,12292825,0,0,2,3,,,,,,,,,
155,12292826,1,1,4,2,,,,,,,,,
156,12292827,0,0,4,0,,,,,,,,,
157,12292828,1,1,6,4,,,,2,,,,,
158,12292829,0,1,2,3,,,,,,,,,
159,12292849,2,1,7,5,1,,,,,,,,
160,12292850,1,0,5,5,,,,,,,,,
161,12292851,2,2,6,6,6,,,,,,,,
162,12292852,0,1,4,4,,,,,,,,,
163,12292853,2,3,7,6,,,,,,,,,
164,12292860,0,0,2,3,,,,,,,,,
165,12292861,2,2,4,6,4,,,,,,,,
166,12292863,1,1,2,0,,,,,,,,,
167,12292876,3,3,6,7,,,,,,,,,
168,12292877,2,2,7,7,,,,,,,,,
169,12292878,3,2,7,7,,,,,,,,,
170,12292930,0,0,1,4,,,,,,,,,
171,12292931,2,3,6,7,,,,,,,,,
172,12292932,2,2,5,7,7,,,,,,,,
173,12292933,2,2,5,7,2,,,,,,,,
174,12292934,2,2,7,6,,,,,,,,,
175,12292935,1,1,6,2,,,,,,,,,
176,12292936,1,1,6,2,3,,,,,,,,
177,12292937,1,0,1,3,,,,,,,,,
178,12292938,1,1,2,7,5,,,,8,,,,
179,12292939,1,2,5,7,5,,,,,,,,
180,12292941,2,2,6,1,11,,,,,,,,
181,12292942,3,2,7,7,,,,,,,,,
182,12292943,3,3,7,7,,,,,,,,,
183,12292944,0,1,2,6,,,,,,,,,
184,12292945,1,0,1,4,,,,,,,,,
185,12292946,0,0,3,6,,,,,7,,,,
186,12292947,2,2,7,6,,,,,,,,,
187,12292948,3,3,7,6,,,,,,,,,
188,12293427,2,2,7,5,6,,,,,,,,
189,12293430,1,0,6,3,,,,,,,,,
190,12293433,3,2,7,6,,,,,,,,,
191,12293440,3,2,6,6,,,,,,,,,
192,12293441,1,1,1,0,,,,,,,,,
193,12293442,1,1,3,3,,,,,,,,,
194,12293445,0,0,3,1,,,,,,,,,
195,12293448,1,0,2,2,,,,,,,,,
196,12293451,1,0,5,6,,,,,,,,,
197,12293457,1,1,1,2,,,,,,,,,
198,12293459,0,0,1,6,,,,,,,,,
199,12293460,1,0,3,4,,,,,,,,,
200,12293462,1,1,1,2,,,,,,,,,
201,12293463,1,0,1,3,,,,,,,,,
202,12293464,3,2,6,5,7,,,,,,,,
203,12293465,1,0,4,2,,,,,,,,,
204,12293466,2,2,6,7,,,,,,,,,
205,12293468,0,0,2,,,,,,,,,,
206,12293469,1,1,5,6,5,,,,,,,,
207,12293470,2,2,8,7,,,,8,,,,,
208,12293471,0,0,4,6,,,,,,,,,
209,12293472,2,3,7,7,,,,,,,,,
210,12293473,2,2,4,7,7,,,,,,,,
211,12293474,3,2,6,6,,,,,,,,,
212,12293475,1,0,0,2,,,,,,,,,
213,12293476,0,1,4,7,,,,,2,,,,
214,12293477,3,3,7,7,,,,,,,,,
215,12293478,2,3,7,8,,,,,8,,,,
216,12293480,1,2,7,4,1,,,,,,,,
217,12293481,2,3,7,6,,,,,,,,,
218,12293482,1,2,3,6,3,,,,,,,,
219,12293483,2,2,7,6,,,,8,,,,,
220,12293484,1,1,2,4,,,,,,,,,
221,12293485,3,3,7,6,,,,,,,,,
222,12293486,0,1,1,3,,,,,,,,,
223,12293487,0,0,5,4,,,,,,,,,
224,12293488,3,3,7,6,,,,,,,,,
225,12293489,,,,,,,,,,,,,
226,12293490,1,1,3,2,,,,,,,,,
227,12293491,2,2,5,6,7,,,,,,,,
228,12293492,2,2,6,7,,,,,,,,,
229,12293493,3,2,6,6,,,,,,,,,
230,12293494,0,1,2,4,,,,,,,,,
231,12293495,2,3,7,7,,,,,,,,,
232,12293496,2,2,6,2,6,,,,,,,,
233,12293497,3,3,6,6,,,,,,,,,
234,12293498,2,3,7,4,7,,,,,,,,
235,12293499,3,3,3,6,7,,,,,,,,
236,12293500,0,1,3,0,,,,,,,,,
237,12293501,2,2,2,6,6,,,,,5,,,
238,12293502,0,1,4,3,,,,,,,,,
239,12293503,3,2,6,6,,,,,,,,,
240,12293505,1,0,5,5,,,,,,,,,
241,12293506,3,2,6,7,,,,,,,,,
242,12293507,2,2,7,6,6,,,,,,,,
243,12293508,0,0,3,,,,,,,,,,
244,12293509,2,2,7,5,7,,,,,,,,
245,12293510,2,2,6,7,,,,,,,,,
246,12293513,1,1,7,3,,,,3,,,,,
247,12293516,0,1,3,,,,,,,,,,
248,12293517,3,3,7,7,,,,,,,,,
249,12293519,2,2,8,3,,,,,,,,,
250,12293523,2,3,6,7,,,,,,,,,
251,12293524,2,3,6,2,7,,,,,,,,
252,12293525,2,3,7,6,,,,,,,,,
253,12293527,2,2,7,6,,,,,,,,,
254,12293528,3,2,6,7,,,,,,,,,
255,12293529,3,2,4,7,7,,,,,,,,
256,12293530,3,2,6,7,,,,,,,,,
257,12293531,1,0,1,3,,,,,,,,,
258,12293533,,,,,,,,,,,,,
259,12293534,3,3,6,6,8,,,4,,,,,
260,12293535,0,0,4,1,,,,,,,,,
261,12293536,0,0,4,2,,,,,,,,,
262,12293537,0,1,2,4,,,,,,,,,
263,12293538,3,2,6,8,,,,,,,,,
264,12293539,3,2,6,7,7,,,,,,,,
265,12293540,1,1,2,2,,,,,,,,,
266,12293541,3,3,7,6,,,,,,,,,
267,12293542,2,2,7,6,,,,,,,,,
268,12293543,1,0,4,6,,,,,,,,,
269,12293544,0,0,2,0,,,,,,,,,
270,12293545,0,0,3,2,,,,,,,,,
271,12293558,2,3,3,6,7,,,,,,,,
272,12293559,1,2,6,4,2,,,,,,,,
273,12293560,1,0,3,1,,,,,,,,,
274,12293561,1,2,6,7,5,,,,,,,,
275,12293562,2,2,7,2,6,,,,,,,,
276,12293563,2,3,8,8,,,,8,10,,,,
277,12293564,0,1,7,6,,,,5,,,,,
278,12293643,2,2,8,5,4,,,8,,,,,
279,12293644,3,3,7,7,,,,8,,,,,
280,12293645,0,1,4,3,,,,,,,,,
281,12293649,2,1,7,4,4,,,19,,,,,
282,12293650,0,0,3,4,,,,,,,,,
283,12293651,1,2,3,7,3,,,,9,,,,
284,12293652,0,0,5,5,,,,,,,,,
285,12293653,3,3,7,7,,,,,8,,,,
286,12293656,1,1,4,2,,,,,,,,,
287,12293657,2,2,6,7,,,,,,,,,
288,12293726,2,2,4,7,7,,,,,,,,
289,12293727,1,1,4,2,,,,,,,,,
290,12293728,0,0,0,0,,,,,,,,,
291,12293729,2,2,7,7,,,,,,,,,
292,12293730,1,1,4,3,,,,,,,,,
293,12293731,1,1,3,5,,,,,,,,,
294,12293732,3,3,6,7,,,,,,,,,
295,12293733,3,2,7,5,8,,,8,,8,,,
296,12293734,2,3,7,6,,,,,,,,,
297,12293735,0,0,5,5,,,,,,,,,
298,12293736,3,2,3,6,7,,,,,,,,
299,12293737,2,1,6,2,5,,,,,,,,
300,12293738,1,0,3,4,,,,,,,,,
301,12293739,2,2,7,7,,,,,,,,,
302,12293740,1,2,7,5,3,,,,,,,,
303,12293741,1,1,5,3,,,,,,,,,
304,12293743,2,3,7,8,,,,,10,,,,
305,12293745,3,3,6,7,,,,,,,,,
306,12293747,0,1,1,3,,,,,,,,,
307,12293748,0,0,0,1,,,,,,,,,
308,12293750,0,0,4,5,,,,,,,,,
309,12293751,0,0,5,0,,,,,,,,,
310,12293756,2,3,6,6,,,,,,,,,
311,12293757,3,3,8,7,,,,8,,,,,
312,12293758,3,2,8,7,,,,8,,,,,
313,12293759,0,1,3,4,,,,,,,,,
314,12293760,1,0,6,6,,,,,,,,,
315,12293761,0,1,0,0,,,,,,,,,
316,12294022,2,2,6,8,,,,,8,,,,
317,12294023,2,2,7,6,,,,,,,,,
318,12294024,3,2,4,6,7,,,,,,,,
319,12294025,1,0,5,1,,,,,,,,,
320,12294026,0,0,5,1,,,,,,,,,
321,12294027,0,1,6,2,,,,4,,,,,
322,12294068,2,3,7,7,,,,,,,,,
323,12295042,2,3,7,6,,,,,,,,,
324,12295043,1,1,0,6,,,,,5,,,,
325,12295044,2,3,6,6,,,,,,,,,
326,12295045,2,2,6,7,,,,,,,,,
327,12295046,3,3,6,7,,,,,,,,,
328,12295047,2,3,6,7,,,,,,,,,
329,12295048,1,1,3,5,,,,,,,,,
330,12295101,0,1,3,2,,,,,,,,,
331,12295102,2,2,6,6,,,,,,,,,
332,12295103,0,0,6,3,,,,,,,,,
333,12295104,0,0,2,0,,,,,,,,,
334,12295105,1,1,1,7,5,,,,,,,,
335,12295106,3,2,6,7,,,,,,,,,
336,12295107,2,3,7,6,,,,,,,,,
337,12295118,0,0,4,6,,,,,,,,,
338,12295121,3,2,7,7,,,,,,,,,
339,12295130,2,2,6,7,,,,,,,,,
340,12295143,2,3,6,6,,,,,,,,,
341,12295144,2,2,7,7,,,,,8,,,,
342,12295145,0,0,5,3,,,,,,,,,
343,12295148,0,1,0,1,,,,,,,,,
344,12295149,2,3,6,7,,,,,,,,,
345,12295150,3,3,7,6,,,,,,,,,
346,12295151,1,0,5,4,,,,,,,,,
347,12295152,1,1,4,3,,,,,,,,,
348,12295153,3,2,6,6,,,,,,,,,
349,12295154,1,1,2,5,,,,,,,,,
350,12295155,1,1,5,6,,,,,5,,,,
351,12295156,0,1,2,1,,,,,,,,,
352,12295157,1,0,4,5,,,,,,,,,
353,12295158,0,0,4,3,,,,,,,,,
354,12295159,1,0,2,2,,,,,,,,,
355,12295160,2,2,6,7,,,,,,,,,
356,12295161,3,3,7,7,,,,,,,,,
357,12295162,3,3,4,6,6,,,,,,,,
358,12295163,2,2,6,7,,,,,,,,,
359,12295164,0,0,4,4,,,,,,,,,
360,12295165,3,3,4,7,7,,,,,,,,
361,12295172,0,0,5,,,,,,,,,,
362,12295181,2,1,4,6,5,,,,,,,,
363,12295217,0,0,1,3,,,,,,,,,
364,12295218,2,2,6,6,,,,,,,,,
365,12295219,2,2,6,7,,,,,,,,,
366,12295220,1,1,4,1,,,,,,,,,
367,12295221,2,1,6,6,0,,,,,,,,
368,12295222,1,1,2,1,,,,,,,,,
369,12295223,0,0,3,7,,,,,7,,,,
370,12295227,3,2,7,7,,,,,,,,,
371,12295240,3,2,7,6,,,,,,,,,
372,12295300,3,2,6,6,7,,,,4,,,,
373,12295301,0,1,7,2,,,,5,,,,,
374,12295302,1,1,4,,,,,,,,,,
375,12295303,0,0,3,3,,,,,,,,,
376,12295304,1,0,2,1,,,,,,,,,
377,12295305,0,0,1,2,,,,,,,,,
378,12295306,3,2,8,7,,,,,,,,,
379,12295352,3,2,6,6,,,,,,,,,
380,12295353,3,3,7,8,,,,8,8,,,,
381,12295369,3,2,3,7,6,,,,,,,,
382,12295415,1,2,7,7,3,,,6,,,,,
383,12295427,2,2,7,6,,,,,,,,,
384,12295428,2,3,7,3,7,,,,,,,,
385,12295429,1,2,4,6,0,,,,,,,,
386,12295430,3,3,6,7,,,,,,,,,
387,12295431,2,3,8,6,,,,11,,,,,
388,12295432,2,2,7,2,3,,,,,,,,
389,12295433,2,3,8,7,,,,,,,,,
390,12295434,3,2,5,7,7,,,,,,,,
391,12295435,2,2,8,6,,,,9,,,,,
392,12295487,3,3,6,7,,,,,,,,,
393,12295488,2,3,6,7,8,,,,8,,,,
394,12295489,1,1,2,4,,,,,,,,,
395,12295490,1,1,3,3,,,,,,,,,
396,12295491,0,1,4,,,,,,,,,,
397,12295492,2,2,7,2,7,,,,,,,,
398,12295493,1,0,4,1,,,,,,,,,
399,12295516,2,2,6,7,,,,,,,,,
400,12295517,1,0,6,3,,,,4,,,,,
401,12295525,2,3,7,3,6,,,,,,,,
402,12295535,3,2,6,8,,,,,7,,,,
403,12295538,2,3,6,7,,,,,,,,,
404,12295539,0,1,5,4,,,,,,,,,
405,12295550,2,2,7,7,2,,,6,,,,,
406,12295551,3,3,4,6,6,,,,,,,,
407,12295552,2,3,7,5,6,,,,,,,,
408,12295553,,,,,,,,,,,,,
409,12295554,2,3,4,6,6,,,,,,,,
410,12295555,3,2,6,3,7,,,,,,,,
411,12295556,3,2,7,6,,,,,,,,,
412,12295557,3,3,2,6,7,,,,,,,,
413,12295558,3,3,6,6,7,,,,,,,,
414,12295588,2,1,7,3,3,,,,,,,,
415,12295590,0,0,5,6,,,,,6,,,,
416,12295591,3,3,6,6,,,,,,,,,
417,12295592,2,3,6,6,6,,,9,,,,,
418,12295593,2,2,7,1,7,,,,,8,,,
419,12295614,3,2,4,6,8,,,,,7,,,
420,12295719,3,2,6,2,6,,,,,,,,
421,12295720,0,1,1,4,,,,,,,,,
422,12295722,0,0,1,7,,,,,4,,,,
423,12295735,1,1,3,0,,,,,,,,,
424,12295809,0,0,2,1,,,,,,,,,
425,12295812,0,1,2,3,,,,,,,,,
426,12295817,1,0,6,3,,,,7,,,,,
427,12295820,0,0,4,3,,,,,,,,,
428,12295821,2,3,7,6,,,,,,,,,
429,12295822,1,0,2,0,,,,,,,,,
430,12295823,0,1,4,2,,,,,,,,,
431,12295824,1,2,7,5,1,,,,,,,,
432,12295825,2,3,6,8,,,,,,,,,
433,12295826,2,2,4,6,3,,,,,,,,
434,12295831,3,2,7,6,,,,,,,,,
435,12295832,2,2,6,7,6,,,4,,,,,
436,12295833,0,0,2,0,,,,,,,,,
437,12295834,3,3,7,6,,,,,,,,,
438,12295835,3,3,7,7,,,,,,,,,
439,12295836,0,0,2,2,,,,,,,,,
440,12295837,0,1,1,3,,,,,,,,,
441,12295838,2,2,7,6,,,,,,,,,
442,12295840,3,2,7,6,,,,,,,,,
443,12295842,1,0,3,5,,,,,,,,,
444,12295843,0,0,5,,,,,,,,,,
445,12295844,0,1,5,2,,,,,,,,,
446,12295845,1,1,3,5,,,,,,,,,
447,12295846,2,3,7,6,,,,,,,,,
448,12296103,1,1,1,2,,,,,,,,,
449,12296104,0,1,3,3,,,,,,,,,
450,12296105,1,0,6,5,,,,3,,,,,
451,12296106,3,3,5,6,7,,,,,,,,
452,12296107,0,1,2,3,,,,,,,,,
453,12296108,3,2,2,6,6,,,,,,,,
454,12296109,2,2,6,5,1,,,,,,,,
455,12296151,3,2,7,7,,,,,,,,,
456,12296152,3,3,7,6,,,,,,,,,
457,12296153,3,3,7,8,,,,7,7,,,,
458,12296154,2,2,7,7,,,,,,,,,
459,12296155,2,1,6,2,2,,,,,,,,
460,12296156,1,1,4,5,,,,,,,,,
461,12296157,1,1,6,4,,,,,,,,,
462,12296158,2,2,7,6,,,,,,,,,
463,12296178,0,0,2,5,,,,,,,,,
464,12296179,2,2,4,7,7,,,,8,6,,,
465,12296180,3,2,6,7,,,,,,,,,
466,12296181,1,1,3,1,,,,,,,,,
467,12296182,1,0,2,2,,,,,,,,,
468,12296183,3,3,6,7,6,,,,4,,,,
469,12296184,0,0,5,0,,,,,,,,,
470,12296185,1,0,3,4,,,,,,,,,
471,12297018,1,0,4,5,,,,,,,,,
472,12297020,1,1,4,7,4,,,,,,,,
473,12297021,1,2,6,4,4,,,,,,,,
474,12297022,0,1,5,5,,,,,,,,,
475,12297023,3,3,6,6,6,,,,8,,,,
476,12297024,3,3,6,7,,,,,,,,,
477,12297025,,,,,,,,,,,,,
478,12297026,,,,,,,,,,,,,
479,12297034,3,2,5,7,6,,,,,,,,
480,12297159,3,3,7,7,,,,,,,,,
481,12297170,3,3,7,7,,,,,,,,,
482,12297278,3,3,8,7,,,,,,,,,
483,12297336,2,2,7,6,6,,,,,,,,
484,12297534,1,0,4,1,,,,,,,,,
485,12297556,3,3,7,7,,,,,,,,,
486,12297559,3,2,6,6,,,,,,,,,
487,12297572,3,3,6,4,8,,,,,7,,,
488,12297576,2,2,2,7,2,,,,,,,,
489,12297589,2,2,6,7,,,,,,,,,
490,12297590,2,2,6,7,,,,,,,,,
491,12297602,2,1,7,2,0,,,,,,,,
492,12297618,3,2,4,7,7,,,,,,,,
493,12297633,1,1,3,4,,,,,,,,,
494,12297637,2,2,6,6,,,,,,,,,
495,12297638,3,2,6,7,,,,,,,,,
496,12297639,0,1,1,3,,,,,,,,,
497,12297640,3,2,7,7,,,,,,,,,
498,12297641,0,0,6,5,,,,,,,,,
499,12297668,0,0,2,3,,,,,,,,,
500,12297671,2,2,6,6,,,,,,,,,
501,12297674,2,1,6,7,1,,,5,,,,,
502,12297681,3,3,6,5,7,,,,,,,,
503,12297684,2,2,7,0,,,,,,,,,
504,12297685,2,3,7,7,,,,,,,,,
505,12297726,0,0,5,2,,,,,,,,,
506,12297727,1,0,2,3,,,,,,,,,
507,12297740,1,1,5,3,,,,,,,,,
508,12297741,0,0,1,0,,,,,,,,,
509,12297748,3,3,3,6,6,,,,,,,,
510,12297768,0,0,2,2,,,,,,,,,
511,12297824,2,3,7,7,,,,,,,,,
512,12297825,3,2,6,7,,,,,,,,,
513,12297826,,,,,,,,,,,,,
514,12297827,0,0,4,7,,,,,4,,,,
515,12297828,1,0,6,3,,,,3,,,,,
516,12297842,3,3,6,6,7,,,,5,,,,
517,12297843,1,1,2,4,,,,,,,,,
518,12297844,0,0,2,6,,,,,,,,,
519,12297878,2,2,7,6,,,,,,,,,
520,12297879,3,3,3,7,6,,,,,,,,
521,12297880,1,1,0,6,,,,,,,,,
522,12297881,2,3,6,7,,,,,,,,,
523,12297903,2,2,7,7,,,,,,,,,
524,12297924,2,2,8,8,,,,,8,,,,
525,12297964,1,1,1,7,,,,,6,,,,
526,12297965,1,1,6,1,,,,,,,,,
527,12297966,2,3,6,1,6,,,,,,,,
528,12297967,1,0,2,3,,,,,,,,,
529,12297978,2,2,6,6,,,,,,,,,
530,12297986,2,1,6,6,3,,,,,,,,
531,12297990,1,1,4,2,,,,,,,,,
532,12298012,3,2,4,6,7,,,,,,,,
533,12298014,2,2,5,8,6,,,,,,,,
534,12298044,2,2,6,7,,,,,,,,,
535,12298084,2,3,6,5,6,,,,,,,,
536,12298086,1,1,4,0,,,,,,,,,
537,12298087,2,3,7,6,,,,,,,,,
538,12298088,3,2,7,7,8,,,4,,,,,
539,12298097,2,2,7,3,6,,,,,,,,
540,12298098,2,3,7,6,,,,,,,,,
541,12298099,1,0,0,2,,,,,,,,,
542,12298100,3,3,8,6,7,,,,,,,,
543,12298101,1,2,4,7,3,,,,9,,,,
544,12298103,2,3,7,6,,,,10,,,,,
545,12298149,2,2,7,7,,,,,,,,,
546,12298150,0,1,2,0,,,,,,,,,
547,12298151,3,3,3,6,6,,,,,,,,
548,12298152,2,3,5,8,7,,,,,,,,
549,12298153,1,1,4,4,,,,,,,,,
550,12298187,1,1,3,5,,,,,,,,,
551,12298211,0,1,4,4,,,,,,,,,
552,12298213,1,1,0,7,2,,,,,,,,
553,12298214,2,3,7,6,,,,,,,,,
554,12298215,0,0,1,2,,,,,,,,,
555,12298221,1,1,3,6,,,,,6,,,,
556,12298225,2,2,6,6,,,,,,,,,
557,12298245,0,1,5,4,,,,,,,,,
558,12298247,3,3,7,6,,,,,,,,,
559,12298275,3,2,7,7,,,,8,,,,,
560,12298276,2,3,8,8,,,,7,,,,,
561,12298277,,,,,,,,,,,,,
562,12298278,3,3,6,7,,,,,,,,,
563,12298279,1,2,3,7,7,,,,,5,,,
564,12298336,3,2,6,7,,,,,,,,,
565,12298337,1,2,6,1,,,,,,,,,
566,12298341,0,1,5,2,,,,,,,,,
567,12298343,3,2,6,6,,,,,,,,,
568,12298345,2,2,7,2,2,,,8,,,,,
569,12298371,1,1,3,2,,,,,,,,,
570,12298372,2,3,7,6,,,,,,,,,
571,12298375,3,2,8,7,,,,,,,,,
572,12298376,3,2,6,6,,,,,,,,,
573,12298406,3,2,7,7,,,,,,,,,
574,12298407,0,0,5,3,,,,,,,,,
575,12298410,2,2,7,2,,,,,,,,,
576,12298411,1,0,4,5,,,,,,,,,
577,12298430,2,2,7,8,6,,,7,,,,,
578,12298434,2,3,6,7,,,,,,,,,
579,12298436,2,3,6,6,7,,,,,,,,
580,12298438,1,0,4,4,,,,,,,,,
581,12298445,3,2,6,6,,,,,,,,,
582,12298447,0,0,2,3,,,,,,,,,
583,12298448,1,1,2,2,,,,,,,,,
584,12298449,1,2,6,5,4,,,,,,,,
585,12298450,3,3,7,7,,,,,,,,,
586,12298451,1,1,5,4,,,,,,,,,
587,12298452,2,3,6,7,,,,,,,,,
588,12298457,3,3,7,6,,,,,,,,,
589,12298492,2,2,6,6,,,,,,,,,
590,12298541,1,1,7,5,,,,6,,,,,
591,12298630,0,1,0,0,,,,,,,,,
592,12298718,2,3,6,7,,,,,,,,,
